Description,Address,"Latitude, Longitude",Entrance,Phone,Operator,Hourly,Daily Max,EarlyBird,After Hours(flat rate),WeekendRate,Monthly Rate,Hours of Operation,Indoors/Outdoors,Service Type,Motorcyles Allowed,Vehicle Types,Height Restriction,Note,Location 1
000 Aloha Tower Drive,,,,,,,,,,,,,,,,,,,
1021 Smith Street,1021 Smith Street,"21.311542, -157.862936",,592-7275,Diamond,,,,$5 after 5 pm,"$5 before 5 pm
$10 after 5 pm",,,,,,,,Tenants only before 5 pm,"21.311542, -157.862936
"
1025 Waimanu Street,1025 Waimanu Street,"21.296648, -157.851510",,597-1789,District Parking Svc,,,,,,,Mon-Sun,Outdoors,,,,None,,"21.296648, -157.851510
"
1032 Fort Street Garage (bet. S. Hotel St-S. King St),1043 Bethel Street,"21.310518, -157.861866",,,ProPark,,$18.00,,,,,,,,,,,,"21.310518, -157.861866
"
1131 Maunakea Street,1131 Maunakea Street,"21.312651, -157.862120",,592-7275,United Parking Svc.,20 mins-$1; 1 hr-$3; 2 hrs-$5; 4 hrs-$7,,$10 in after 7am out by 5 pm,Fri-Sat - $10 in after 5pm; Sun-Thu-$7 in after 5pm,,"$215 Sun-Thu, in after 5pm","Mon-Sun, 24 hrs.",Outdoors,,,,None,Disabled Spaces,"21.312651, -157.862120
"
1132 Bishop Street,1132 Bishop Street,"21.310231, -157.860206",,522-1293,Ampco,$3.25/half hr,$33.00,$15 before 8 am,$3.25 after 4:30 pm,$3.25,$210 unrsvd; $375 rsvd,,,,,,,,"21.310231, -157.860206
"
1135 Smith St (bet. N. Pauahi St-N. Hotel St),1135 Smith Street,"21.312396, -157.861906",,,Diamond,,$12.00,,,,,,,,,,,,"21.312396, -157.861906
"
1171 Maunakea St (bet. N. Beretania St-N. Pauhahi St),1171 Maunakea Street,"21.313275, -157.861368",,,Diamond,,$10.00,,,,,,,,,,,,"21.313275, -157.861368
"
1188 Maunakea,1188 Maunakea,"21.313504, -157.861538",,592-7275,Diamond,20 mins-$1; 1 hr-$2; 2 hrs-$4; 4 hrs-$6,,"$10, in after 7am out by 5pm",$10 Sat-Sun in after 5pm; $5 Mon-Fri in after 5pm,,$100 Sun-Thu in after 5 pm,"Mon-Sun, 24 hrs",Outdoors,Pay and Display; Disabled Spaces,,,,,"21.313504, -157.861538
"
1192 Alakea St. (bet. S. Beretania St-S. Hotel St),1192 Alakea Street,"21.310214, -157.858552",,,United Parking Service,,$21.00,,,,,,,,,,,,"21.310214, -157.858552
"
1192 Alakea Street,1192 Alakea Street,"21.310214, -157.858552",,592-7275,United Parking Svc.,1 hr-$11; 2 hrs-$16; 3 hrs-$21; 4 hrs-$27; 10 hrs-$32; 24 hrs-$42,,,,,,"Mon-Sun, 24 hours",Outdoors,Pay and Display; Disabled Spaces,,,None,,"21.310214, -157.858552
"
120 Nimitz Highway,120 Nimitz Highway,"21.311792, -157.864845",,,Private,$2,,,$3 atr 3 pm,,,Closes at 10 pm,,,,,,,"21.311792, -157.864845
"
1218 Hopaka St. (bet. Piikoi St-Pensacola St),1218 Hopaka Street,"21.294954, -157.847416",,,Elite Parking,,$18.00,,,,,,,,,,,,"21.294954, -157.847416
"
1227 Kona Street,1227 Kona Street,"21.294596, -157.847964",,971-7755,ProPark,10 hrs-$3,,,$10 in after 10pm out by 6am,,$60,,"Partially Covered, Manned",Honesty Box,,,,,"21.294596, -157.847964
"
1245 Aala Street (bet. N. Beretania St-N. Kukui St),1245 Aala Street,"21.316161, -157.862061",,,ProPark,,$5.00,,,,,,,,,,,,"21.316161, -157.862061
"
132 Nimitz Hwy (bet. Maunakea St-Kekaulike St),132 Nimitz Highway,"21.311943, -157.864889",,,TBC Parking,,$6.00,,,,,,,,,,,,"21.311943, -157.864889
"
1331 Makaloa St. (bet. Keeaumoku St-Sheridan St),1331 Makaloa Street,"21.294781, -157.844371",,,Diamond,,$10.00,,,,,,,,,,,,"21.294781, -157.844371
"
1338 Kapiolani Boulevard,1338 Kapiolani Boulevard,"21.294850, -157.844740",,592-7275,Diamond,,,,,,$85,"Mon-Sun, 24 hours",Outdoors,,,,None,,"21.294850, -157.844740
"
1347 Kapiolani Boulevard,1347 Kapiolani Boulevard,"21.294308, -157.845173",,592-7275,Diamond,,,,,,$85,,Indoors,Manned,,,,,"21.294308, -157.845173
"
1373 Kapiolani Blvd. (bet Kona Iki St-Piikoi St),1373 Kapiolani Boulevard,"21.294121, -157.844182",,,Diamond,,$10.00,,,,,,,,,,,,"21.294121, -157.844182
"
1388 Kapiolani Boulevard,1388 Kapiolani Boulevard,"21.294372, -157.843666",,737-7559,Elite Parking Svc.,30 mins-$2,$20.00,,,,,"Mon-Sun, 6am-9pm",Outdoors,Honesty Box,,,None,,"21.294372, -157.843666
"
1570 Liona St. (bet. Kaheka St-Keeaumoku St),1570 Liona Street,"21.297418, -157.838909",,,ProPark,,$7.00,,,,,,,,,,,,"21.297418, -157.838909
"
1674 Kapiolani Blvd. (bet Kalauokalani Way-Kaheka St),1674 Kapiolani Boulevard,"21.291536, -157.838270",,,Diamond,,$7.00,,,,,,,,,,,,"21.291536, -157.838270
"
1723 Kalakaua Ave. (bet. Kapiolani Blvd-Makaloa St),1723 Kalakaua Avenue,"21.291606, -157.836566",,,Diamond,,$8.00,,,,,,,,,,,,"21.291606, -157.836566
"
1762 Kalakaua Av. (bet. Kapiolani Blvd-Fern St),1762 Kalakaua Avenue,"21.293334, -157.836709",,,Diamond,,$7.00,,,,,,,,,,,,"21.293334, -157.836709
"
202 Beachwalk (bet. Kalia Rd-Kalakaua Ave),202 Beachwalk,"21.279206, -157.832161",,,Elite Parking,,$10.00,,,,,,,,,,,,"21.279206, -157.832161
"
215 N. King Street,215 N. King Street,"21.314614, -157.864529",,,,,,,,,"Rates for 12- hr  time frames from 5,6,7 am:  $100 compact rooftop, $110 regular rooftop, $120 compact covered, $130 regular coverd.  24-hr rate:  $115 compact rooftop",,,,,,,,"21.314614, -157.864529
"
2150 Lauula St. (bet. Lewers St-Kalaimoku St),2150 Lauula Street,,,,Diamond,,$12.00,,,,,,,,,,,,
2154 Lauula St. (bet. Lewers St-Kalaimoku St),2154 Lauula Street,"21.281261, -157.829440",,,Diamond,,$9.00,,,,,,,,,,,,"21.281261, -157.829440
"
218 Kaiulani Ave (bet. Ala Wai Blvd-Kuhio Ave),218 Kaiulani Avenue,"21.278087, -157.823777",,,Diamond,,$12.00,,,,,,,,,,,,"21.278087, -157.823777
"
230 North Beretania Street,230 North Beretania Street,"21.315055, -157.862455",,592-7275,Diamond,2 hrs-$5; 24 hrs-$12,,,,,$80,"Mon-Sun, 24 horus",Outdoors,Pay and Display; Disabled Spaces,,,,,"21.315055, -157.862455
"
234 Beachwalk (bet. Kalia Rd-Kalakau Ave),234 Beachwalk,"21.280033, -157.831660",,,Elite Parking,,$3.00,,,,,,,,,,,,"21.280033, -157.831660
"
2463 Kalakaua Ave. (bet. Kapiolani Blvd-Makaloa St),2463 Kalakaua Avenue,"21.275168, -157.824498",,,Diamond,,$8.00,,,,,,,,,,,,"21.275168, -157.824498
"
252 Saratoga Rd. (bet. Kalio Rd-Kalakaua Ave),252 Saratoga Road,"21.280403, -157.832046",,,Diamond,,$9.00,,,,,,,,,,,,"21.280403, -157.832046
"
350 Ward Avenue,350 Ward Avenue,"21.297060, -157.855769",,592-7275,Diamond,,,,,,$80,"Mon-Sun, 24 hours",,,,,,,"21.297060, -157.855769
"
41 North Pauahi Street,41 North Pauahi Street,"21.312256, -157.861609",,592-7275,Diamond,1 hr-$5,$20.00,,,,"$215, Mon-Sun in after 12am out by 12am","Mon-Sun, 7am-5pm",Outdoors,Pay and Display; Disabled Spaces,,,None,,"21.312256, -157.861609
"
410 Olohana St. (bet. Kuhio Ave-Ala Wai Blvd),410 Olohana Street,"21.284034, -157.830557",,,Diamond,,$7.00,,,,,,,,,,,,"21.284034, -157.830557
"
437 Mahukona St. (bet. Atkinson Dr-Kona St),437 Mahukona Street,"21.291058, -157.840280",,,AMPCO,,$9.00,,,,,,,,,,,,"21.291058, -157.840280
"
456 Kanekapolei St. (bet. Kuhio Ave-Ala Wai Blvd),456 Kanekapolei Street,"21.278912, -157.823692",,,Diamond,,$12.00,,,,,,,,,,,,"21.278912, -157.823692
"
510 Piikoi Street (bet. Piikoi St-Pensacola St),1282 Kona Street,"21.294271, -157.847058",,,ProPark,,$5.00,,,,,,,,,,,,"21.294271, -157.847058
"
"526 Halekauwila St., (bet. South St-Punchbowl St)",526 Halekauwila Street,"21.303467, -157.860946",,,State of Hawaii,,$4.00,,,,,,,,,,,,"21.303467, -157.860946
"
555 South Street,555 South Street,"21.301219, -157.859929",,,Standard,"2 hrs-$4, 4 hrs.-$6, 10 hrs-$8, 24 hrs-$12",,,,,,,Outdoors,,,,None,,"21.301219, -157.859929
"
600 Ward Avenue,600 Ward Avenue,"21.298653, -157.853153",,592-7275,Diamond,,,,,,$125,"Mon-Sun, 24 hrs",Outdoors,Pay and Display; Disabled Spaces,,,None,,"21.298653, -157.853153
"
611 Queen St. (bet. Keawe St-South St),611 Queen Street,"21.302461, -157.858090",,,Diamond,,$8.00,,,,,,,,,,,,"21.302461, -157.858090
"
677 Ala Moana Building,677 Ala Moana Building,"21.297718, -157.862067",,532-4517,ABM Parking Service,30 mins-$2.50; 1 hr-$5; 90 mins-$7.50; 2 hrs-$10; 2.5 hrs-$12.50; 3 hrs-$15; 4 hrs-$20; 5 hrs-$25,$40.00,$8 (in 6-8:30 am),,,,"Mon-Fri, 6am-8pm",,,,,"6' 6""",,"21.297718, -157.862067
"
723 Richards St. (bet S. Hotel St-S. King St),723 Richards Street,"21.306059, -157.862269",,,ABM,,$18.00,,,,,,,,,,,,"21.306059, -157.862269
"
"723 Richards St., (bet. Queen St-Halekauwila St)",,,,,ABM,,$18.00,,,,,,,,,,,,
800 Nuuanu Av. (bet. Marin St-Nimitz Hwy),800 Nuuanu Avenue,"21.310225, -157.864179",,,Diamond,,$20.00,,,,,,,,,,,,"21.310225, -157.864179
"
800 Nuuanu Avenue (bet. Marin St-Nimitz Hwy),800 Nuuanu Avenue,,,,Diamond,,$20.00,,,,,,,,,,,,
816 Sheridan St. (bet. Rycroft St-S. King St),816 Sheridan Street,"21.297165, -157.841937",,,ProPark,,$9.00,,,,,,,,,,,,"21.297165, -157.841937
"
"832 Halekauwila St., (bet. Ward Ave-Cooke St)",832 Halekauwila Street,"21.298266, -157.856260",,,District Parking,,$5.00,,,,,,,,,,,,"21.298266, -157.856260
"
